Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
The Green Hills Of Earth,by Robert A. Heinlein,17,1,12,2001,İngilizce,288,Baen
Johnny ve Ölüler,by Terry Pratchett ve Albert Vitó i Godina,24,5,0,2003,Türkçe,Sayfa sayısı bilgisi yok,Dost
Death into Life Annotated,by Olaf Stapledon,0,0,0,2021,İngilizce,Sayfa sayısı bilgisi yok,Independently Published
Star Wars: Vector Prime,The New Jedi Order #1,34,3,13,1999,İngilizce,387,Ballantine Pub. Group
Mistress Masham's Repose,by T. H. White,14,4,4,"Apr 01, 2017",İngilizce,360,"Penguin UK, Puffin"
Master & Apprentice,Star Wars,44,12,0,"Apr 16, 2019",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Random House Audio
Dead as a doornail,by Charlaine Harris,17,30,0,2009,İngilizce,295,"Gollancz, Orion Publishing Group, Limited"
Halo,by Eric S. Nylund,66,5,7,"February 7, 2005","Pages352",Sayfa sayısı bilgisi yok,Orbit
Time and again,by Jack Finney,39,2,11,1995,İngilizce,578,G.K. Hall & Co.
Escape On Venus,by Edgar Rice Burroughs,1,0,0,"November 1, 1984",İngilizce,290,Ace
Case of Conscience,by James Blish,26,3,13,"July 12, 1987",İngilizce,188,Del Rey
Fantoom,de tiende wet van de magie,19,19,0,2007,Felemenkçe,655,Luitingh Fantasy
The Hugo Winners,"by Isaac Asimov, Walter M. Miller Jr., Eric Frank Russell, Murray Leinster, Arthur C. Clarke, Avram Davidson, Clifford D. Simak, Robert Bloch, Daniel Keyes, Poul Anderson, Gordon R. Dickson, Harlan Ellison, Jack Vance, Larry Niven, Anne McCaffrey, Philip José Farmer, Fritz Leiber, Robert Silverberg ve Samuel R. Delany",46,2,0,1962,İngilizce,Sayfa sayısı bilgisi yok,Avon Books
Deltora Quest,Special Edition Books 1-4,51,6,14,2002,İngilizce,555,Scholastic
Eternity,by Greg Bear,18,1,14,2014,İngilizce,447,Open Road Integrated Media
Paris au XXe siècle,roman,48,2,4,1994,Fransızca,186,Hachette / Le Cherche Midi Éditeur
Nocny Patrol,by Sergeĭ Lukʹi͡anenko,26,22,0,2007,Lehçe,435,Wydawnictwo Mag
Der Wurm Ouroboros.,by Eric Rücker Eddison,18,1,4,"November 1, 1997",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Lübbe
An unkindness of ghosts,by Rivers Solomon ve Francis Guévremont,45,3,10,2017,İngilizce,349,Akashic Books
Skully Fourbery contre les Sans-Visage,by Derek Landy,42,1,11,2010,Fransızca,325,Gallimard jeunesse
In Real Life,by Cory Doctorow ve Jen Wang,42,1,18,2014,İngilizce,175,First Second
World of Ptavvs,by Larry Niven,22,21,0,1982,İngilizce,188,"Ballantine Books, Del Rey"
Book Eaters,by Sunyi Dean,48,1,6,2023,İngilizce,235,HarperCollins Publishers
Footfall,by Larry Niven ve Jerry Pournelle,30,1,19,1986,İngilizce,700,Sphere
the rise of nine,by Pittacus Lore,58,2,2,30/08/2012,İngilizce,Sayfa sayısı bilgisi yok,"harper collins, Puffin (30 Aug 2012)"
Crystal singer,by Anne McCaffrey,35,1,10,1982,İngilizce,311,Ballantine
The Mayflower project,by Katherine Applegate,43,5,0,2001-07,İngilizce,178,Scholastic Inc.
Bilim İnsanı Ada Arı,by Andrea Beaty,41,13,0,2019,Türkçe,40,Epsilon Yayınları
Anne McCaffrey's the Unicorn Girl,An Illustrated Novel,31,14,0,December 1997,İngilizce,135,Eos
Lilith’s Brood,by Octavia E. Butler,39,1,13,2000,İngilizce,746,Aspect/Warner Books
Doctor Who,Monsters and Villains,40,3,8,"July 1, 2005",İngilizce,96,"BBC Books, Ebury Publishing"
Maximum Ride : forever,romanzo,40,4,5,2016,İtalyanca,354,Nord
"My Hero Academia, Vol. 3",by Kohei Horikoshi,57,2,7,2016,İngilizce,192,VIZ Media LLC
"Ogre, ogre",by Piers Anthony,30,1,20,1982,İngilizce,307,Ballantine Books
Stravaganza,city of masks,18,7,0,2004,İngilizce,344,Scholastic
The science of Interstellar,by Kip S. Thorne,53,5,4,2014,İngilizce,324,W. W. Norton & Company
The moon pool,by A. Merritt,19,1,4,1919,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Liveright Pub. Corp.
Outlaw of Gor,by John Norman ve Robert Foster,22,5,0,"Aug 17, 1971",İngilizce,256,"Ballantine, Tandem"
Nexus,by Ramez Naam,39,1,24,2012,"Pages448",Sayfa sayısı bilgisi yok,Angry Robot
Bleu saphir,"by Kerstin Gier, Anthea Bell ve Luis Miralles de Imperial",34,1,19,2011,Fransızca,373,Milan
Hothouse,by Brian W. Aldiss,35,13,0,"December 1, 1984",İngilizce,Sayfa sayısı bilgisi yok,Baen Books
Someone Who Will Love You in All Your Damaged Glory,Stories,61,3,3,"May 19, 2020",İngilizce,256,Vintage
Le royaume du dragon d'or,by Isabel Allende,14,2,6,2004,Fransızca,390,Grasset
Demir Altın,by Pierce Brown,24,2,23,"Oct 17, 2018",Türkçe,672,Pegasus Yayincilik
Falling free,by Lois McMaster Bujold,31,2,26,1988,İngilizce,307,Baen Books
Restoree,by Anne McCaffrey,32,7,0,"May 12, 1978",İngilizce,Sayfa sayısı bilgisi yok,Del Rey
Inverted World,by Christopher Priest,30,14,0,"Dec 23, 2013",Dil bilgisi yok,Sayfa sayısı bilgisi yok,DAEDALUS
Mules and men,by Zora Neale Hurston,41,4,2,1990,İngilizce,309,Perennial Library
The white plague,by Frank Herbert,29,3,11,1983,İngilizce,501,Berkley Books
Kalite Ülkesi,by Marc-Uwe Kling,32,12,0,"Oct 17, 2019",Türkçe,368,Epsilon Yayinevi
Kosmicheskiĭ kadet,fantasticheskiĭ roman,24,1,11,2004,Rusça,317,ZAO TSentrpoligraf
Down and out in the Magic Kingdom,by Cory Doctorow,28,20,0,2003,İngilizce,208,Tor
Dragon Book,Magical Tales from the Masters of Modern Fantasy,44,1,6,2011,İngilizce,448,Andersen Press
The Deep,by Rivers Solomon,49,11,0,"Nov 05, 2019",İngilizce,281,Simon & Schuster Audio and Blackstone Audio
Star Wars,Academia Jedi,40,2,12,2016,Portekizce,265,Planeta
The Moon Pool,by A. Merritt,5,0,0,2016,İngilizce,289,Standard Ebooks
A Kiss Remembered,by Sandra Brown,24,2,21,1983,İngilizce,362,Silhouette
"Hunger Games, catching fire",the official illustrated movie companion,59,3,1,2013,İngilizce,159,Scholastic Inc.
Le Secret D'Akhenaton,by Philip Kerr,37,4,4,"Nov 01, 2009",Dil bilgisi yok,305,Scholastic
Double helix,by Nancy Werlin,50,1,6,2004,İngilizce,252,Dial Books
Dieu joue-t-il aux dés ? Les mathématiques du chaos,by Ian Stewart,43,2,3,"January 4, 1999",Fransızca,Sayfa sayısı bilgisi yok,Flammarion
The Kilternan legacy,by Anne McCaffrey,29,1,9,1993,İngilizce,420,Curley Large Print
Dreams of Gods and Monsters,by Laini Taylor,40,8,0,2011,İngilizce,640,"Little, Brown and Company"
Pushing ice,by Alastair Reynolds,25,1,22,2006,İngilizce,514,"Orion, Orion Publishing Group, Limited"
The wanting seed,by Anthony Burgess,32,3,0,1965,İngilizce,519,Heinemann
Among the Betrayed,Shadow Children #3,38,7,11,2002,İngilizce,156,Simon & Schuster Books for Young Readers
Lost Stars,by Claudia Gray,38,3,14,2015,İngilizce,560,"Egmont Books, Limited"
Star Wars: Luz dos Jedi,by Charles Soule,38,14,0,2021-04-29,Portekizce,407,Universo geek
Back to the Stone Age (Bison Frontiers of Imagination),by Edgar Rice Burroughs,1,2,0,"June 1, 2007",İngilizce,336,Bison Books
Splinter of the Mind's Eye,From the Adventures of Luke Skywalker,39,3,4,1978,İngilizce,216,Ballantine Books
The Black Flame,"by Stanley G. Weinbaum, Stanley Grauman Weinbaum ve Weinbaum Stanley G",0,0,0,"November 15, 1997",İngilizce,202,Tachyon Publications
Assassin of Gor,by John Norman,19,2,1,1972,İngilizce,Sayfa sayısı bilgisi yok,Ballantine Books
Walkaway: A Novel,by Cory Doctorow,28,2,21,"Apr 25, 2017","Pages384",Sayfa sayısı bilgisi yok,Tor Books
The aeronaut's windlass,by Jim Butcher,39,20,0,2016,İngilizce,630,Orbit
"Shikasta - Re, Colonised Planet 5 - Personal, Psychological, Historical Documents Relating To Visit By Johor (george Sherban)",by Doris Lessing,32,2,4,1981-01-01,İngilizce,418,Vintage Books / Random House
The skies of Pern,by Anne McCaffrey,32,1,8,2001,İngilizce,464,Bantam
Freedom™,by Daniel Suarez,24,31,0,2011,Fransızca,499,Fleuve noir
THE X FILES. GROUND ZERO.,"by Kevin J. Anderson, Ben Mezrich ve Chris Carter",10,2,5,1996,İngilizce,256,Penguin
"Head, shoulders, knees, and toes--",by Annie Kubler ve Annie Kubler,49,2,9,2001,İngilizce,Sayfa sayısı bilgisi yok,Child's Play (International)
A Columbus of space,by Garrett Putman Serviss,3,0,0,1911,İngilizce,297,D. Appleton and Company
Akilli arkadasim,by Robert Lawrence Stine,38,2,12,1998,Türkçe,127,Aksoy Yayincilik
Düzenleyiciler,by Stephen King,5,1,0,1998,Türkçe,408,Inkilap
The Cosmic Computer,by H. Beam Piper,2,0,0,2017,İngilizce,320,Standard Ebooks
Singularity Sky,by Charles Stross,24,23,0,2004,İngilizce,396,"Little, Brown Book Group Limited"
Once on a time,"by A. A. Milne, A. Milne ve A. A. Milne",15,2,0,1962,İngilizce,242,New York Graphic Society
Autonomous,by Annalee Newitz,36,16,0,"Jul 02, 2019",İngilizce,320,"Minotauro, MINOTAURO"
The illuminatus! trilogy,by Robert Anton Wilson ve Robert Shea,40,1,19,1984,İngilizce,805,Dell Pub. Co.
The Great Book of Amber,"The Complete Amber Chronicles, 1-10",40,1,22,1999 December,İngilizce,1258,"Avon-Eos, Avon Books"
Blaues Licht.,by Gary Paulsen,49,2,4,"April 1, 2001",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Carlsen
The Menace from Earth,by Robert A. Heinlein,19,11,0,1991,İngilizce,278,Baen Books
La longue terre,"by Terry Pratchett, Stephen Baxter ve Gabriel Dols Gallardo",27,1,14,2013,Fransızca,Sayfa sayısı bilgisi yok,L'Atalante
Supernatural,Bir Daha Asla - Keith R.A. Decandido yazdı… Paranormal Kötülüğün Peşindeki İki Kardeş,52,1,4,"Mar 09, 2010",İngilizce,295,Artemis Yayınları
Broken angels,by Richard K. Morgan,23,31,0,2004,İngilizce,366,Del Rey
The Dreaming Void,The Void Trilogy Bk. 1,20,25,0,"Sep 12, 2012",İngilizce,269,Pan Books
